SKU,Product_Name,Category,Subcategory,Price,Cost_Price,negative_margin_flag,Total_Units_Sold,Mean_Daily_Demand,Median_Daily_Demand,Std_Daily_Demand,Min_Daily_Demand,Max_Daily_Demand,Zero_Demand_Days,Zero_Demand_Pct,CV,ADI,CV2,Intermittency_Class,Total_Revenue,Volume_Rank,Revenue_Rank,Variability_Rank
SKU009,Product 009,Lighting,Organizer,2336.89,3121.06,True,7830,10.711,10.0,3.805,1,27,0,0.0,0.355,1.0,0.1262,Smooth,18297848.7,31,42,20
SKU022,Product 022,Home Decor,Table,4597.03,3252.96,False,7421,10.152,10.0,3.778,1,26,0,0.0,0.372,1.0,0.1385,Smooth,34114559.63,32,30,15
SKU002,Product 002,Home Decor,Table,3805.69,3867.09,True,7412,10.14,10.0,3.707,1,23,0,0.0,0.366,1.0,0.1337,Smooth,28207774.28,33,33,18
SKU044,Product 044,Lighting,Cookware,5412.28,488.84,False,7145,9.774,9.0,3.528,2,25,0,0.0,0.361,1.0,0.1302,Smooth,38670740.6,34,26,19
SKU032,Product 032,Home Decor,Table,5612.59,3806.6,False,6821,9.331,9.0,3.522,0,24,1,0.14,0.377,1.001,0.1409,Smooth,38283476.39,35,28,14
SKU046,Product 046,Furniture,Shelf,7175.54,1913.03,False,6761,9.249,9.0,3.41,1,23,0,0.0,0.369,1.0,0.1359,Smooth,48513825.94,36,21,16
SKU021,Product 021,Furniture,Chair,7711.28,6486.92,False,6238,8.534,8.0,3.148,1,19,0,0.0,0.369,1.0,0.1361,Smooth,48102964.64,37,22,16
SKU048,Product 048,Kitchen,Rug,1379.55,6863.87,True,6175,8.447,8.0,3.408,0,21,1,0.14,0.403,1.001,0.1612,Smooth,8518721.25,38,47,13
SKU038,Product 038,Kitchen,Rug,3949.1,4630.58,True,5641,7.717,7.0,3.144,0,19,1,0.14,0.407,1.001,0.1644,Smooth,22276873.1,39,38,12
SKU006,Product 006,Furniture,Shelf,8106.04,6021.91,False,4786,6.547,6.0,2.809,1,21,0,0.0,0.429,1.0,0.1841,Smooth,38795507.44,40,25,11
SKU050,Product 050,Storage,Sofa,882.72,701.85,False,4537,6.207,6.0,2.807,0,15,1,0.14,0.452,1.001,0.2028,Smooth,4004900.64,41,49,10
SKU003,Product 003,Kitchen,Cushion,8078.23,589.48,False,4214,5.765,6.0,2.762,0,17,4,0.55,0.479,1.006,0.2228,Smooth,34041661.22,42,31,7
SKU028,Product 028,Kitchen,Rug,3484.09,6348.66,True,4101,5.61,5.0,2.541,0,14,2,0.27,0.453,1.003,0.2019,Smooth,14288253.09,43,46,9
SKU036,Product 036,Furniture,Shelf,5687.0,5430.12,False,3508,4.799,5.0,2.338,0,15,8,1.09,0.487,1.011,0.2239,Smooth,19949996.0,44,40,6
SKU030,Product 030,Storage,Sofa,9433.51,5715.03,False,3493,4.778,5.0,2.28,0,14,7,0.96,0.477,1.01,0.2159,Smooth,32951250.43,45,32,8
SKU004,Product 004,Lighting,Cookware,6861.57,1445.74,False,3380,4.624,5.0,2.364,0,16,13,1.78,0.511,1.018,0.2389,Smooth,23192106.6,46,35,5
SKU015,Product 015,Storage,Lamp,6212.12,5441.06,False,2994,4.096,4.0,2.196,0,12,15,2.05,0.536,1.021,0.2611,Smooth,18599087.28,47,41,4
SKU039,Product 039,Lighting,Organizer,7118.95,6178.74,False,2300,3.146,3.0,1.829,0,9,36,4.92,0.581,1.052,0.2721,Smooth,16373585.0,48,44,3
SKU025,Product 025,Storage,Lamp,11558.01,1333.08,False,1976,2.703,2.0,1.696,0,11,58,7.93,0.628,1.086,0.2831,Smooth,22838627.76,49,36,2
SKU011,Product 011,Furniture,Chair,1444.56,1718.4,True,1951,2.669,2.0,1.737,0,9,55,7.52,0.651,1.081,0.3163,Smooth,2818336.56,50,50,1
