Date,SKU,Product_Name,Category,Units_Sold,Price,Revenue,Promotion,is_holiday,holiday,promotion_event,Context_Classification
2025-03-30,SKU043,Product 043,Kitchen,47,8745.77,411051.19,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-23,SKU049,Product 049,Lighting,46,5223.37,240275.02,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-02,SKU012,Product 012,Home Decor,46,8779.37,403851.02,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-03,SKU042,Product 042,Home Decor,46,9198.83,423146.18,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-06-29,SKU007,Product 007,Home Decor,46,5114.09,235248.14,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-16,SKU018,Product 018,Kitchen,46,5575.41,256468.86,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-06-15,SKU018,Product 018,Kitchen,46,5575.41,256468.86,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-06-30,SKU018,Product 018,Kitchen,46,5575.41,256468.86,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-30,SKU018,Product 018,Kitchen,46,5575.41,256468.86,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-06-15,SKU012,Product 012,Home Decor,46,8779.37,403851.02,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-29,SKU026,Product 026,Furniture,46,10939.54,503218.84,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-22,SKU027,Product 027,Home Decor,46,8516.6,391763.6,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-30,SKU037,Product 037,Home Decor,46,2747.42,126381.32,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-04-20,SKU012,Product 012,Home Decor,45,8779.37,395071.65,0,0,,,Legitimate_Event (Weekend)
2024-11-17,SKU007,Product 007,Home Decor,45,5114.09,230134.05,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-29,SKU049,Product 049,Lighting,45,5223.37,235051.65,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-06-29,SKU035,Product 035,Storage,45,10870.19,489158.55,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-30,SKU049,Product 049,Lighting,45,5223.37,235051.65,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-17,SKU014,Product 014,Lighting,45,2270.75,102183.75,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-03,SKU043,Product 043,Kitchen,45,8745.77,393559.65,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-22,SKU026,Product 026,Furniture,45,10939.54,492279.3,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-16,SKU012,Product 012,Home Decor,45,8779.37,395071.65,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-02,SKU012,Product 012,Home Decor,45,8779.37,395071.65,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-31,SKU018,Product 018,Kitchen,45,5575.41,250893.45,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-06-01,SKU042,Product 042,Home Decor,45,9198.83,413947.35,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-09,SKU027,Product 027,Home Decor,45,8516.6,383247.0,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-15,SKU037,Product 037,Home Decor,45,2747.42,123633.9,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-02,SKU007,Product 007,Home Decor,44,5114.09,225019.96,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-06-09,SKU045,Product 045,Storage,44,7676.78,337778.32,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-24,SKU049,Product 049,Lighting,44,5223.37,229828.28,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-16,SKU037,Product 037,Home Decor,44,2747.42,120886.48,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-06-08,SKU049,Product 049,Lighting,44,5223.37,229828.28,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-23,SKU007,Product 007,Home Decor,44,5114.09,225019.96,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-06-29,SKU027,Product 027,Home Decor,44,8516.6,374730.4,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-09,SKU045,Product 045,Storage,44,7676.78,337778.32,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-11-30,SKU012,Product 012,Home Decor,44,8779.37,386292.28,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-09,SKU037,Product 037,Home Decor,44,2747.42,120886.48,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-23,SKU018,Product 018,Kitchen,44,5575.41,245318.04,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-22,SKU045,Product 045,Storage,44,7676.78,337778.32,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-06-07,SKU018,Product 018,Kitchen,44,5575.41,245318.04,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-06-29,SKU049,Product 049,Lighting,44,5223.37,229828.28,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
