SKU,n_records,first_snapshot,last_snapshot,stock_avg,stock_min,stock_max,stock_total,on_order_avg,on_order_total,lead_time_avg,lead_time_min,lead_time_max,safety_stock_avg,safety_stock_min,safety_stock_max,reorder_point_avg,reorder_point_min,reorder_point_max,inv_value_avg,inv_value_min,inv_value_max,inv_value_total,in_sales
SKU072,24,2024-01-01,2025-12-01,191.79,16,331,4603,129.67,3112,8.5,4,14,49.79,5,75,126.46,16,210,1373324.23,114568.0,2370125.5,32959781.5,False
SKU073,24,2024-01-01,2025-12-01,577.17,34,1084,13852,482.83,11588,9.46,3,14,159.67,5,297,465.04,10,806,4140714.87,243923.14,7776843.64,99377156.92,False
SKU074,24,2024-01-01,2025-12-01,21.0,5,44,504,12.21,293,9.42,4,14,5.71,5,8,14.33,10,23,56667.45,13492.25,118731.8,1360018.8,False
SKU075,24,2024-01-01,2025-12-01,1224.25,28,2258,29382,745.21,17885,8.46,3,13,332.38,5,559,804.29,16,1393,3851306.86,88083.8,7103329.3,92431364.7,False
SKU076,24,2024-01-01,2025-12-01,43.33,5,87,1040,27.79,667,9.21,3,14,9.79,6,16,28.08,11,53,261630.2,30188.1,525272.94,6279124.8,False
SKU077,24,2024-01-01,2025-12-01,210.5,14,467,5052,151.92,3646,8.54,3,14,60.67,5,104,153.96,14,247,445737.96,29645.28,988881.84,10697711.04,False
SKU078,24,2024-01-01,2025-12-01,125.08,23,214,3002,63.88,1533,8.42,3,14,28.75,5,45,72.5,10,111,836947.59,153895.76,1431899.68,20086742.24,False
SKU079,24,2024-01-01,2025-12-01,378.92,25,807,9094,306.71,7361,8.79,3,14,111.38,5,186,278.33,16,467,1854880.44,122380.5,3950442.54,44517130.68,False
SKU080,24,2024-01-01,2025-12-01,501.71,13,862,12041,365.75,8778,8.79,3,14,114.79,5,169,305.21,13,474,889212.8,23040.81,1527782.94,21341107.17,False
SKU081,24,2024-01-01,2025-12-01,286.71,22,560,6881,219.08,5258,7.88,3,14,83.21,5,154,203.0,10,365,2231063.9,171196.3,4357724.0,53545533.65,False
SKU082,24,2024-01-01,2025-12-01,238.17,7,424,5716,180.67,4336,9.17,4,14,67.54,5,103,181.33,10,293,325147.51,9556.47,578849.04,7803540.36,False
SKU083,24,2024-01-01,2025-12-01,50.46,16,95,1211,31.92,766,7.88,3,13,13.42,5,23,34.33,10,55,64163.83,20345.92,120803.9,1539931.82,False
SKU084,24,2024-01-01,2025-12-01,211.62,32,407,5079,132.12,3171,8.04,3,13,57.88,5,98,137.62,11,211,252722.58,38214.4,486039.4,6065341.8,False
SKU085,24,2024-01-01,2025-12-01,261.38,34,478,6273,159.62,3831,9.17,4,14,66.54,5,111,174.08,16,280,1242485.27,161624.1,2272244.7,29819646.45,False
SKU086,24,2024-01-01,2025-12-01,101.58,10,192,2438,57.38,1377,7.75,3,14,32.04,7,49,73.5,20,118,658460.12,64819.7,1244538.24,15803042.86,False
SKU087,24,2024-01-01,2025-12-01,303.08,8,683,7274,278.33,6680,9.67,3,14,90.92,5,153,257.04,14,406,383612.58,10125.6,864473.1,9206701.8,False
SKU088,24,2024-01-01,2025-12-01,349.71,22,662,8393,171.75,4122,8.33,3,14,79.5,5,122,208.58,15,312,2601343.91,163649.42,4924359.82,62432253.73,False
SKU089,24,2024-01-01,2025-12-01,247.46,19,448,5939,141.75,3402,7.96,3,14,59.96,6,97,141.62,19,271,998872.99,76694.07,1808365.44,23972951.67,False
SKU090,24,2024-01-01,2025-12-01,276.46,31,498,6635,266.46,6395,9.29,3,14,79.67,5,123,203.38,11,324,2116587.12,237338.48,3812727.84,50798090.8,False
SKU091,24,2024-01-01,2025-12-01,200.12,18,425,4803,129.17,3100,8.83,3,12,55.46,5,82,145.21,17,229,88587.33,7967.88,188130.5,2126095.98,False
SKU092,24,2024-01-01,2025-12-01,60.83,12,106,1460,38.75,930,6.96,3,12,14.04,5,26,33.04,10,65,314101.36,61959.72,547310.86,7538432.6,False
SKU093,24,2024-01-01,2025-12-01,357.58,8,633,8582,298.54,7165,8.79,3,14,103.67,6,175,266.17,20,461,1250876.56,27985.12,2214322.62,30021037.48,False
SKU094,24,2024-01-01,2025-12-01,14.83,2,27,356,10.79,259,7.96,3,14,5.08,5,6,11.88,10,19,72228.4,9738.66,131471.91,1733481.48,False
SKU095,24,2024-01-01,2025-12-01,316.67,19,635,7600,226.25,5430,7.38,3,14,91.92,5,147,214.12,11,406,1226199.83,73571.99,2458853.35,29428796.0,False
SKU096,24,2024-01-01,2025-12-01,87.83,23,180,2108,60.71,1457,8.38,3,14,22.0,7,41,56.25,20,114,34100.41,8929.52,69883.2,818409.92,False
SKU097,24,2024-01-01,2025-12-01,379.54,31,757,9109,234.5,5628,7.71,3,14,92.29,6,151,221.62,18,400,2438680.46,199185.23,4863974.81,58528330.97,False
SKU098,24,2024-01-01,2025-12-01,346.75,6,725,8322,229.67,5512,8.46,3,14,91.0,6,162,242.29,14,434,1513029.76,26180.76,3163508.5,36312714.12,False
SKU099,24,2024-01-01,2025-12-01,320.58,9,584,7694,205.42,4930,8.58,3,14,96.96,5,185,251.88,10,396,1578577.98,44316.72,2875662.72,37885871.52,False
SKU100,24,2024-01-01,2025-12-01,496.08,10,1000,11906,372.88,8949,8.5,3,14,129.46,5,207,322.67,17,567,1562627.77,31499.3,3149930.0,37503066.58,False
SKU101,24,2024-01-01,2025-12-01,634.38,28,1194,15225,568.33,13640,9.67,4,14,161.71,5,291,457.42,14,833,4423528.59,195245.4,8325821.7,106164686.25,False
SKU102,24,2024-01-01,2025-12-01,189.0,10,343,4536,164.75,3954,8.83,4,14,50.42,5,81,135.08,10,242,410273.64,21707.6,744570.68,9846567.36,False
SKU103,24,2024-01-01,2025-12-01,424.04,29,881,10177,277.38,6657,8.33,3,14,125.54,6,214,318.25,18,577,2789519.94,190773.89,5795579.21,66948478.57,False
SKU104,24,2024-01-01,2025-12-01,181.38,30,411,4353,122.21,2933,8.71,3,14,48.42,5,92,133.92,10,265,138902.42,22974.9,314756.13,3333657.99,False
SKU105,24,2024-01-01,2025-12-01,364.88,18,758,8757,209.5,5028,7.83,3,14,88.67,6,147,224.75,10,372,2423189.61,119540.7,5033991.7,58156550.55,False
SKU106,24,2024-01-01,2025-12-01,406.71,6,839,9761,389.21,9341,7.62,3,13,128.92,7,220,316.88,17,505,555160.94,8190.06,1145243.39,13323862.61,False
SKU107,24,2024-01-01,2025-12-01,126.5,28,258,3036,84.83,2036,9.12,3,14,33.67,6,69,94.08,20,186,310757.37,68784.24,633797.64,7458176.88,False
SKU108,24,2024-01-01,2025-12-01,24.25,6,45,582,16.46,395,9.33,3,14,6.38,5,11,17.38,10,26,27767.46,6870.3,51527.25,666419.1,False
SKU109,24,2024-01-01,2025-12-01,114.04,20,276,2737,76.5,1836,8.54,3,14,33.04,7,56,89.38,10,166,182862.39,32069.4,442557.72,4388697.39,False
SKU110,24,2024-01-01,2025-12-01,543.33,34,1037,13040,432.42,10378,8.67,3,14,158.54,6,254,402.21,15,657,2625038.93,164266.24,5010120.32,63000934.4,False
SKU111,24,2024-01-01,2025-12-01,112.04,26,257,2689,82.71,1985,8.25,3,14,29.25,7,54,77.17,10,151,304129.26,70575.18,697608.51,7299102.27,False
SKU112,24,2024-01-01,2025-12-01,548.62,24,963,13167,395.83,9500,9.25,3,14,126.58,5,232,378.25,14,585,3857541.48,168750.96,6771132.27,92580995.43,False
SKU113,24,2024-01-01,2025-12-01,128.96,25,235,3095,81.54,1957,8.42,3,14,33.58,5,54,88.29,10,137,213633.66,41415.25,389303.35,5127207.95,False
SKU114,24,2024-01-01,2025-12-01,222.42,17,459,5338,135.5,3252,7.42,3,14,60.0,6,98,145.17,14,255,485479.98,37106.75,1001882.25,11651519.5,False
SKU115,24,2024-01-01,2025-12-01,261.67,6,555,6280,199.12,4779,6.67,3,12,72.71,6,127,159.96,15,247,165300.07,3790.32,350604.6,3967201.6,False
SKU116,24,2024-01-01,2025-12-01,107.38,23,206,2577,77.92,1870,7.62,3,14,29.29,5,59,72.88,10,128,462688.54,99109.07,887672.54,11104524.93,False
SKU117,24,2024-01-01,2025-12-01,242.33,12,415,5816,175.21,4205,8.54,3,14,59.71,5,104,159.67,12,273,158170.97,7832.4,270870.5,3796103.2,False
SKU118,24,2024-01-01,2025-12-01,61.33,20,119,1472,43.29,1039,8.25,4,14,17.08,5,29,43.21,18,64,62445.31,20362.6,121157.47,1498687.36,False
SKU119,24,2024-01-01,2025-12-01,196.21,10,382,4709,110.88,2661,7.79,3,14,60.33,5,100,137.96,18,244,1538601.0,78416.7,2995517.94,36926424.03,False
SKU120,24,2024-01-01,2025-12-01,255.12,9,555,6123,209.04,5017,8.96,3,14,66.25,5,123,178.29,19,320,1604978.62,56618.55,3491477.25,38519486.85,False
SKU121,24,2024-01-01,2025-12-01,21.62,7,44,519,12.25,294,7.12,3,14,6.29,5,10,14.46,10,28,27956.37,9049.46,56882.32,670952.82,False
SKU122,24,2024-01-01,2025-12-01,125.54,18,237,3013,82.83,1988,8.46,3,13,36.08,5,55,87.08,18,151,531697.83,76234.14,1003749.51,12760747.99,False
SKU123,24,2024-01-01,2025-12-01,312.42,33,623,7498,236.5,5676,8.67,3,14,86.79,6,169,227.17,15,427,1010492.96,106736.52,2015056.12,24251831.12,False
SKU124,24,2024-01-01,2025-12-01,86.12,18,204,2067,70.42,1690,7.62,3,14,27.5,7,47,65.92,13,113,199387.13,41671.62,472278.36,4785291.03,False
SKU125,24,2024-01-01,2025-12-01,379.79,28,601,9115,236.25,5670,7.92,3,14,107.42,5,181,251.96,10,385,1322013.01,97464.92,2092014.89,31728312.35,False
SKU126,24,2024-01-01,2025-12-01,454.12,24,774,10899,343.21,8237,9.08,3,14,121.5,6,193,301.67,14,522,1406979.16,74357.28,2398022.28,33767499.78,False
SKU127,24,2024-01-01,2025-12-01,337.17,26,665,8092,206.08,4946,7.12,3,14,90.17,5,144,210.38,12,416,1075848.26,82962.1,2121915.25,25820358.2,False
SKU128,24,2024-01-01,2025-12-01,513.92,15,906,12334,359.33,8624,9.33,3,14,127.54,5,225,345.79,10,611,1310893.49,38261.85,2311015.74,31461443.86,False
SKU129,24,2024-01-01,2025-12-01,56.75,13,98,1362,54.75,1314,7.83,3,14,18.33,6,28,42.12,12,79,225698.16,51701.78,389751.88,5416755.72,False
SKU130,24,2024-01-01,2025-12-01,606.88,27,1037,14565,325.75,7818,8.71,3,14,145.92,6,240,367.12,18,579,2670019.39,118789.74,4562405.94,64080465.3,False
SKU131,24,2024-01-01,2025-12-01,113.75,29,223,2730,76.58,1838,9.17,3,14,30.12,5,52,82.25,14,151,737559.55,188037.16,1445940.92,17701429.2,False
SKU132,24,2024-01-01,2025-12-01,287.29,5,608,6895,193.38,4641,9.08,3,14,82.96,5,133,215.21,13,340,1481020.14,25775.55,3134306.88,35544483.45,False
SKU133,24,2024-01-01,2025-12-01,739.17,29,1548,17740,606.0,14544,9.25,3,14,216.92,6,363,598.42,13,989,1344278.07,52740.56,2815254.72,32262673.6,False
SKU134,24,2024-01-01,2025-12-01,219.5,21,346,5268,150.83,3620,7.88,3,13,55.96,7,96,135.5,14,198,1519065.12,145331.97,2394517.22,36457562.76,False
SKU135,24,2024-01-01,2025-12-01,240.08,11,490,5762,205.04,4921,8.08,3,14,70.17,5,122,178.25,13,295,236959.85,10856.89,483625.1,5687036.38,False
SKU136,24,2024-01-01,2025-12-01,123.17,34,218,2956,84.42,2026,7.79,3,14,33.54,5,55,79.12,10,155,111443.66,30763.88,197250.76,2674647.92,False
SKU137,24,2024-01-01,2025-12-01,735.92,16,1520,17662,634.58,15230,7.96,3,14,223.58,5,402,545.5,11,876,5652811.41,122901.12,11675606.4,135667473.84,False
SKU138,24,2024-01-01,2025-12-01,111.17,23,237,2668,99.08,2378,9.25,4,13,34.29,5,64,92.38,16,171,539273.95,111573.92,1149696.48,12942574.72,False
SKU139,24,2024-01-01,2025-12-01,509.12,28,851,12219,330.5,7932,8.46,3,13,116.21,6,186,289.29,19,513,3860038.1,212287.88,6452035.21,92640914.49,False
SKU140,24,2024-01-01,2025-12-01,674.38,28,1307,16185,434.08,10418,8.67,3,14,156.96,5,263,409.71,19,692,3252571.32,135046.52,6303778.63,78061711.65,False
SKU141,24,2024-01-01,2025-12-01,306.29,8,886,7351,214.08,5138,7.42,3,14,114.67,5,187,283.25,10,530,483178.17,12620.08,1397673.86,11596276.01,False
SKU142,24,2024-01-01,2025-12-01,397.83,15,614,9548,261.17,6268,8.83,3,14,103.21,5,149,256.17,12,422,1864382.26,70295.1,2877412.76,44745174.32,False
SKU143,24,2024-01-01,2025-12-01,251.92,29,478,6046,168.25,4038,9.54,3,14,76.83,6,135,211.5,19,379,1554429.12,178941.89,2949455.98,37306298.86,False
SKU144,24,2024-01-01,2025-12-01,91.83,24,177,2204,42.79,1027,9.17,3,14,23.62,5,39,63.21,17,108,373228.12,97540.56,719361.63,8957474.76,False
SKU145,24,2024-01-01,2025-12-01,792.21,21,1396,19013,533.38,12801,8.58,3,14,193.75,5,308,528.92,17,926,933173.88,24736.74,1644404.24,22396173.22,False
SKU146,24,2024-01-01,2025-12-01,367.17,30,661,8812,234.71,5633,8.17,3,14,89.71,6,158,221.54,13,419,341369.54,27892.2,614558.14,8192868.88,False
SKU147,24,2024-01-01,2025-12-01,281.67,20,589,6760,231.0,5544,9.0,3,14,76.42,5,143,200.17,14,393,1760695.52,125019.8,3681833.11,42256692.4,False
SKU148,24,2024-01-01,2025-12-01,91.83,21,148,2204,75.42,1810,8.62,3,14,28.54,5,47,74.92,11,121,260410.86,59549.49,419682.12,6249860.76,False
SKU149,24,2024-01-01,2025-12-01,261.08,9,459,6266,171.08,4106,8.42,3,14,82.54,5,139,203.29,14,371,612671.2,21119.85,1077112.35,14704108.9,False
SKU150,24,2024-01-01,2025-12-01,257.42,8,492,6178,157.5,3780,8.79,3,14,66.88,5,113,182.71,10,322,691655.42,21495.28,1321959.72,16599729.98,False
SKU151,24,2024-01-01,2025-12-01,819.46,23,1653,19667,551.79,13243,8.75,3,14,219.5,5,359,568.92,14,866,6150026.6,172614.77,12405748.47,147600638.33,False
SKU152,24,2024-01-01,2025-12-01,289.88,27,507,6957,167.67,4024,8.75,3,14,70.71,6,122,183.08,20,348,933609.11,86959.71,1632910.11,22406618.61,False
SKU153,24,2024-01-01,2025-12-01,325.88,25,574,7821,201.46,4835,8.29,3,14,78.58,5,133,192.79,15,368,2445717.94,187627.0,4307915.92,58697230.68,False
SKU154,24,2024-01-01,2025-12-01,122.54,6,230,2941,71.83,1724,7.54,3,13,28.38,7,53,69.17,14,107,485891.19,23790.66,911975.3,11661388.51,False
SKU155,24,2024-01-01,2025-12-01,143.0,16,285,3432,83.96,2015,7.96,3,14,38.83,5,63,97.75,12,185,831207.52,93002.24,1656602.4,19948980.48,False
SKU156,24,2024-01-01,2025-12-01,381.25,13,832,9150,292.58,7022,8.54,4,14,106.21,5,186,269.79,15,498,445380.06,15186.73,971950.72,10689121.5,False
SKU157,24,2024-01-01,2025-12-01,50.0,16,107,1200,35.04,841,9.38,3,14,13.0,5,19,35.46,14,50,59744.5,19118.24,127853.23,1433868.0,False
SKU158,24,2024-01-01,2025-12-01,512.58,28,1008,12302,326.62,7839,7.54,3,14,134.58,5,207,327.38,18,569,2853679.56,155883.0,5611788.0,68488309.5,False
SKU159,24,2024-01-01,2025-12-01,565.46,6,1128,13571,393.17,9436,9.58,3,14,151.25,7,206,415.92,10,663,3758516.72,39881.1,7497646.8,90204401.35,False
SKU160,24,2024-01-01,2025-12-01,111.96,20,268,2687,86.12,2067,7.29,3,14,40.25,5,60,87.54,12,143,425861.51,76075.0,1019405.0,10220676.25,False
SKU161,24,2024-01-01,2025-12-01,329.83,19,585,7916,217.33,5216,7.96,3,14,92.29,5,152,231.5,12,444,2430185.61,139990.48,4310233.2,58324454.72,False
SKU162,24,2024-01-01,2025-12-01,651.71,26,1077,15641,468.54,11245,7.42,3,14,157.21,5,282,389.17,10,625,721480.23,28783.56,1192303.62,17315525.46,False
SKU163,24,2024-01-01,2025-12-01,285.58,25,479,6854,145.62,3495,7.38,3,14,72.04,5,113,161.29,16,316,699761.99,61257.25,1173688.91,16794287.66,False
SKU164,24,2024-01-01,2025-12-01,232.71,16,414,5585,152.29,3655,9.83,3,14,56.04,6,86,159.88,18,243,250103.28,17196.0,444946.5,6002478.75,False
SKU165,24,2024-01-01,2025-12-01,221.88,27,427,5325,152.38,3657,8.5,3,13,64.79,5,101,164.75,15,279,1173379.28,142788.69,2258176.69,28161102.75,False
SKU166,24,2024-01-01,2025-12-01,338.17,31,644,8116,219.29,5263,8.71,3,14,89.67,5,143,225.0,18,370,2435479.72,223262.31,4638094.44,58451513.16,False
SKU167,24,2024-01-01,2025-12-01,154.33,8,284,3704,119.71,2873,7.58,3,14,47.67,5,73,106.83,14,150,209649.49,10867.36,385791.28,5031587.68,False
SKU168,24,2024-01-01,2025-12-01,232.0,21,425,5568,116.71,2801,7.21,3,14,50.25,5,99,121.62,12,209,414370.56,37507.68,759084.0,9944893.44,False
SKU169,24,2024-01-01,2025-12-01,369.29,5,684,8863,189.04,4537,8.92,3,14,97.5,5,158,241.21,14,412,195820.6,2651.3,362697.84,4699694.38,False
SKU170,24,2024-01-01,2025-12-01,213.17,32,387,5116,113.58,2726,7.0,3,12,49.54,6,90,114.12,10,191,138632.94,20811.2,251685.45,3327190.6,False
SKU171,24,2024-01-01,2025-12-01,90.75,19,158,2178,83.67,2008,9.54,3,14,28.04,5,54,73.42,19,135,190464.28,39876.82,331607.24,4571142.84,False
SKU172,24,2024-01-01,2025-12-01,39.21,9,76,941,26.96,647,7.67,3,14,11.83,5,19,28.96,10,52,27192.94,6241.95,52709.8,652630.55,False
SKU173,24,2024-01-01,2025-12-01,292.29,27,506,7015,186.33,4472,8.29,3,14,74.25,5,139,186.71,18,317,1822099.48,168313.68,3154323.04,43730387.6,False
SKU174,24,2024-01-01,2025-12-01,689.79,26,1129,16555,382.75,9186,7.17,3,14,173.21,5,271,375.5,11,579,4652196.43,175353.1,7614371.15,111652714.25,False
SKU175,24,2024-01-01,2025-12-01,344.08,7,669,8258,231.79,5563,7.92,3,14,100.25,6,150,243.29,13,448,419148.55,8527.12,814949.04,10059565.28,False
SKU176,24,2024-01-01,2025-12-01,101.25,32,185,2430,60.79,1459,8.79,3,14,29.67,5,46,75.12,11,110,610052.51,192806.72,1114663.85,14641260.3,False
SKU177,24,2024-01-01,2025-12-01,134.58,18,256,3230,80.25,1926,8.62,3,14,38.71,7,65,101.42,14,158,195536.12,26152.2,371942.4,4692867.0,False
SKU178,24,2024-01-01,2025-12-01,184.12,14,350,4419,153.75,3690,7.17,3,14,59.75,5,103,133.38,18,270,321495.14,24444.98,611124.5,7715883.33,False
SKU179,24,2024-01-01,2025-12-01,818.42,20,1661,19642,499.42,11986,8.5,3,14,219.17,7,355,560.83,20,846,6421780.03,156931.8,13033185.99,154122720.78,False
SKU180,24,2024-01-01,2025-12-01,828.5,14,1482,19884,589.83,14156,9.58,3,14,242.79,5,431,636.33,18,987,557066.83,9413.32,996467.16,13369603.92,False
SKU181,24,2024-01-01,2025-12-01,698.71,16,1351,16769,628.21,15077,8.42,3,14,211.33,6,379,556.29,10,974,4962317.42,113634.08,9594977.63,119095617.97,False
SKU182,24,2024-01-01,2025-12-01,291.83,25,414,7004,263.46,6323,8.46,3,14,82.04,5,141,208.83,15,379,464522.79,39793.5,658980.36,11148546.96,False
SKU183,24,2024-01-01,2025-12-01,1342.21,30,2585,32213,1156.0,27744,8.33,3,14,400.0,6,746,1010.58,19,1661,10529906.24,235356.3,20279867.85,252717749.73,False
SKU184,24,2024-01-01,2025-12-01,135.83,9,291,3260,91.96,2207,6.62,3,14,44.12,7,77,93.58,12,163,859367.24,56939.67,1841049.33,20624813.8,False
SKU185,24,2024-01-01,2025-12-01,232.92,11,428,5590,164.0,3936,8.29,3,14,53.42,6,87,142.5,10,257,320204.52,15122.36,588397.28,7684908.4,False
SKU186,24,2024-01-01,2025-12-01,524.58,8,1047,12590,368.83,8852,9.38,3,14,145.21,5,213,376.75,14,612,1356263.0,20683.28,2706924.27,32550311.9,False
SKU187,24,2024-01-01,2025-12-01,325.5,12,675,7812,250.17,6004,7.92,3,14,96.83,5,152,228.21,11,436,1719147.78,63378.72,3565053.0,41259546.72,False
SKU188,24,2024-01-01,2025-12-01,287.58,30,665,6902,225.33,5408,8.46,3,13,94.62,5,175,244.62,10,401,402731.7,42012.0,931266.0,9665560.8,False
SKU189,24,2024-01-01,2025-12-01,123.46,21,222,2963,74.38,1785,7.38,3,14,32.25,6,55,76.83,11,147,484550.5,82421.01,871307.82,11629212.03,False
SKU190,24,2024-01-01,2025-12-01,272.25,34,537,6534,191.62,4599,8.79,3,14,76.71,6,122,192.83,15,338,350992.87,43833.82,692316.51,8423828.82,False
SKU191,24,2024-01-01,2025-12-01,148.08,21,296,3554,114.0,2736,8.96,3,14,43.17,5,68,113.21,10,179,528102.19,74891.25,1055610.0,12674452.5,False
SKU192,24,2024-01-01,2025-12-01,84.12,19,145,2019,55.29,1327,8.33,3,13,22.33,7,36,57.62,12,94,434789.97,98199.22,749415.1,10434959.22,False
SKU193,24,2024-01-01,2025-12-01,187.5,25,336,4500,93.21,2237,9.83,3,14,45.12,5,77,125.21,14,181,363116.25,48415.5,650704.32,8714790.0,False
SKU194,24,2024-01-01,2025-12-01,274.75,14,651,6594,236.79,5683,9.21,3,14,90.92,6,150,239.75,18,380,743767.48,37898.98,1762302.57,17850419.58,False
SKU195,24,2024-01-01,2025-12-01,436.21,23,817,10469,319.29,7663,7.33,3,14,121.29,5,200,288.96,10,538,1711912.69,90264.19,3206341.01,41085904.57,False
SKU196,24,2024-01-01,2025-12-01,31.83,11,76,764,31.0,744,9.04,4,14,10.71,5,19,29.25,12,57,149188.51,51552.05,356177.8,3580524.2,False
SKU197,24,2024-01-01,2025-12-01,285.33,22,554,6848,189.0,4536,9.21,3,14,71.62,6,121,195.5,13,341,1504163.2,115975.2,2920466.4,36099916.8,False
SKU198,24,2024-01-01,2025-12-01,299.42,19,496,7186,139.83,3356,8.08,3,14,66.17,7,109,169.62,10,301,808622.62,51312.54,1339527.36,19406942.76,False
SKU199,24,2024-01-01,2025-12-01,318.04,22,587,7633,257.33,6176,8.58,3,14,82.38,7,124,217.25,18,330,1142879.55,79056.78,2109378.63,27429109.17,False
SKU200,24,2024-01-01,2025-12-01,118.08,28,199,2834,65.62,1575,8.58,3,14,26.58,7,48,71.42,12,121,359574.38,85262.52,605972.91,8629785.06,False
