SKU,nunique,mean,std,min,max,is_constant
SKU091,2,442.66,0.0,442.66,442.66,True
SKU092,2,5163.31,0.0,5163.31,5163.31,True
SKU093,2,3498.14,0.0,3498.14,3498.14,True
SKU094,1,4869.33,0.0,4869.33,4869.33,True
SKU095,3,3872.21,0.0,3872.21,3872.21,True
SKU096,2,388.24,0.0,388.24,388.24,True
SKU097,3,6425.33,0.0,6425.33,6425.33,True
SKU098,1,4363.46,0.0,4363.46,4363.46,True
SKU099,1,4924.08,0.0,4924.08,4924.08,True
SKU100,2,3149.93,0.0,3149.93,3149.93,True
SKU101,2,6973.05,0.0,6973.05,6973.05,True
SKU102,2,2170.76,0.0,2170.76,2170.76,True
SKU103,2,6578.41,0.0,6578.41,6578.41,True
SKU104,2,765.83,0.0,765.83,765.83,True
SKU105,2,6641.15,0.0,6641.15,6641.15,True
SKU106,2,1365.01,0.0,1365.01,1365.01,True
SKU107,2,2456.58,0.0,2456.58,2456.58,True
SKU108,2,1145.05,0.0,1145.05,1145.05,True
SKU109,3,1603.47,0.0,1603.47,1603.47,True
SKU110,2,4831.36,0.0,4831.36,4831.36,True
SKU111,2,2714.43,0.0,2714.43,2714.43,True
SKU112,2,7031.29,0.0,7031.29,7031.29,True
SKU113,2,1656.61,0.0,1656.61,1656.61,True
SKU114,1,2182.75,0.0,2182.75,2182.75,True
SKU115,2,631.72,0.0,631.72,631.72,True
SKU116,2,4309.09,0.0,4309.09,4309.09,True
SKU117,2,652.7,0.0,652.7,652.7,True
SKU118,3,1018.13,0.0,1018.13,1018.13,True
SKU119,3,7841.67,0.0,7841.67,7841.67,True
SKU120,2,6290.95,0.0,6290.95,6290.95,True
SKU121,1,1292.78,0.0,1292.78,1292.78,True
SKU122,2,4235.23,0.0,4235.23,4235.23,True
SKU123,2,3234.44,0.0,3234.44,3234.44,True
SKU124,2,2315.09,0.0,2315.09,2315.09,True
SKU125,2,3480.89,0.0,3480.89,3480.89,True
SKU126,2,3098.22,0.0,3098.22,3098.22,True
SKU127,2,3190.85,0.0,3190.85,3190.85,True
SKU128,2,2550.79,0.0,2550.79,2550.79,True
SKU129,2,3977.06,0.0,3977.06,3977.06,True
SKU130,2,4399.62,0.0,4399.62,4399.62,True
SKU131,3,6484.04,0.0,6484.04,6484.04,True
SKU132,2,5155.11,0.0,5155.11,5155.11,True
SKU133,2,1818.64,0.0,1818.64,1818.64,True
SKU134,2,6920.57,0.0,6920.57,6920.57,True
SKU135,3,986.99,0.0,986.99,986.99,True
SKU136,2,904.82,0.0,904.82,904.82,True
SKU137,3,7681.32,0.0,7681.32,7681.32,True
SKU138,1,4851.04,0.0,4851.04,4851.04,True
SKU139,3,7581.71,0.0,7581.71,7581.71,True
SKU140,2,4823.09,0.0,4823.09,4823.09,True
SKU141,2,1577.51,0.0,1577.51,1577.51,True
SKU142,2,4686.34,0.0,4686.34,4686.34,True
SKU143,2,6170.41,0.0,6170.41,6170.41,True
SKU144,3,4064.19,0.0,4064.19,4064.19,True
SKU145,1,1177.94,0.0,1177.94,1177.94,True
SKU146,2,929.74,0.0,929.74,929.74,True
SKU147,2,6250.99,0.0,6250.99,6250.99,True
SKU148,2,2835.69,0.0,2835.69,2835.69,True
SKU149,2,2346.65,0.0,2346.65,2346.65,True
SKU150,2,2686.91,0.0,2686.91,2686.91,True
SKU151,2,7504.99,0.0,7504.99,7504.99,True
SKU152,2,3220.73,0.0,3220.73,3220.73,True
SKU153,3,7505.08,0.0,7505.08,7505.08,True
SKU154,2,3965.11,0.0,3965.11,3965.11,True
SKU155,2,5812.64,0.0,5812.64,5812.64,True
SKU156,2,1168.21,0.0,1168.21,1168.21,True
SKU157,2,1194.89,0.0,1194.89,1194.89,True
SKU158,1,5567.25,0.0,5567.25,5567.25,True
SKU159,2,6646.85,0.0,6646.85,6646.85,True
SKU160,1,3803.75,0.0,3803.75,3803.75,True
SKU161,3,7367.92,0.0,7367.92,7367.92,True
SKU162,2,1107.06,0.0,1107.06,1107.06,True
SKU163,2,2450.29,0.0,2450.29,2450.29,True
SKU164,1,1074.75,0.0,1074.75,1074.75,True
SKU165,2,5288.47,0.0,5288.47,5288.47,True
SKU166,2,7202.01,0.0,7202.01,7202.01,True
SKU167,2,1358.42,0.0,1358.42,1358.42,True
SKU168,2,1786.08,0.0,1786.08,1786.08,True
SKU169,1,530.26,0.0,530.26,530.26,True
SKU170,2,650.35,0.0,650.35,650.35,True
SKU171,2,2098.78,0.0,2098.78,2098.78,True
SKU172,2,693.55,0.0,693.55,693.55,True
SKU173,2,6233.84,0.0,6233.84,6233.84,True
SKU174,2,6744.35,0.0,6744.35,6744.35,True
SKU175,2,1218.16,0.0,1218.16,1218.16,True
SKU176,3,6025.21,0.0,6025.21,6025.21,True
SKU177,2,1452.9,0.0,1452.9,1452.9,True
SKU178,2,1746.07,0.0,1746.07,1746.07,True
SKU179,3,7846.59,0.0,7846.59,7846.59,True
SKU180,2,672.38,0.0,672.38,672.38,True
SKU181,3,7102.13,0.0,7102.13,7102.13,True
SKU182,2,1591.74,0.0,1591.74,1591.74,True
SKU183,3,7845.21,0.0,7845.21,7845.21,True
SKU184,2,6326.63,0.0,6326.63,6326.63,True
SKU185,2,1374.76,0.0,1374.76,1374.76,True
SKU186,2,2585.41,0.0,2585.41,2585.41,True
SKU187,2,5281.56,0.0,5281.56,5281.56,True
SKU188,2,1400.4,0.0,1400.4,1400.4,True
SKU189,3,3924.81,0.0,3924.81,3924.81,True
SKU190,1,1289.23,0.0,1289.23,1289.23,True
SKU191,1,3566.25,0.0,3566.25,3566.25,True
SKU192,1,5168.38,0.0,5168.38,5168.38,True
SKU193,2,1936.62,0.0,1936.62,1936.62,True
SKU194,2,2707.07,0.0,2707.07,2707.07,True
SKU195,2,3924.53,0.0,3924.53,3924.53,True
SKU196,2,4686.55,0.0,4686.55,4686.55,True
SKU197,2,5271.6,0.0,5271.6,5271.6,True
SKU198,2,2700.66,0.0,2700.66,2700.66,True
SKU199,2,3593.49,0.0,3593.49,3593.49,True
SKU200,2,3045.09,0.0,3045.09,3045.09,True
