SKU,unit_iv,own_Cost_Price,own_Sell_Price,diff_own_cost,diff_own_sell,best_cost_match_SKU,best_cost_val,cost_match_diff,exact_cost_match,best_sell_match_SKU,best_sell_val,sell_match_diff,exact_sell_match
SKU040,1164.55,5169.07,2450.56,4004.52,1286.01,SKU035,1137.61,26.94,False,SKU048,1379.55,215.0,False
SKU041,5672.73,4540.24,10336.73,1132.49,4664.0,SKU018,5677.05,4.32,False,SKU036,5687.0,14.27,False
SKU042,7761.12,4583.86,9198.83,3177.26,1437.71,SKU007,7748.2,12.92,False,SKU021,7711.28,49.84,False
SKU043,3732.55,2605.61,8745.77,1126.94,5013.22,SKU032,3806.6,74.05,False,SKU001,3664.05,68.5,False
SKU044,997.03,488.84,5412.28,508.19,4415.25,SKU035,1137.61,140.58,False,SKU050,882.72,114.31,False
SKU045,1818.32,3634.56,7676.78,1816.24,5858.46,SKU026,1799.29,19.03,False,SKU024,1768.87,49.45,False
SKU046,4738.95,1913.03,7175.54,2825.92,2436.59,SKU033,4657.74,81.21,False,SKU019,4819.85,80.9,False
SKU047,6128.53,3416.1,7938.22,2712.43,1809.69,SKU039,6178.74,50.21,False,SKU015,6212.12,83.59,False
SKU048,3598.72,6863.87,1379.55,3265.15,2219.17,SKU045,3634.56,35.84,False,SKU033,3558.0,40.72,False
SKU049,5286.31,2063.03,5223.37,3223.28,62.94,SKU029,5402.59,116.28,False,SKU049,5223.37,62.94,False
SKU050,3472.51,701.85,882.72,2770.66,2589.79,SKU047,3416.1,56.41,False,SKU028,3484.09,11.58,False
